movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1421811人评价
霸王别姬,2,9.6,1053159人评价
这个杀手不太冷,3,9.4,1297754人评价
阿甘正传,4,9.4,1119926人评价
美丽人生,5,9.5,655903人评价
泰坦尼克号,6,9.3,1061029人评价
千与千寻,7,9.3,1046040人评价
辛德勒的名单,8,9.5,584431人评价
盗梦空间,9,9.3,1123445人评价
忠犬八公的故事,10,9.3,742695人评价
机器人总动员,11,9.3,744292人评价
三傻大闹宝莱坞,12,9.2,1010400人评价
海上钢琴师,13,9.2,827750人评价
放牛班的春天,14,9.3,700268人评价
楚门的世界,15,9.2,774196人评价
大话西游之大圣娶亲,16,9.2,782114人评价
星际穿越,17,9.2,803298人评价
龙猫,18,9.2,691541人评价
教父,19,9.3,506862人评价
熔炉,20,9.3,454144人评价
无间道,21,9.1,642717人评价
疯狂动物城,22,9.2,884710人评价
当幸福来敲门,23,9.0,818062人评价
怦然心动,24,9.0,904750人评价
触不可及,25,9.2,540481人评价
蝙蝠侠：黑暗骑士,26,9.1,523142人评价
乱世佳人,27,9.2,375105人评价
活着,28,9.2,417682人评价
少年派的奇幻漂流,29,9.0,814160人评价
控方证人,30,9.6,180441人评价
天堂电影院,31,9.2,401814人评价
指环王3：王者无敌,32,9.2,409864人评价
鬼子来了,33,9.2,341033人评价
十二怒汉,34,9.4,242469人评价
天空之城,35,9.1,479395人评价
摔跤吧！爸爸,36,9.0,784876人评价
飞屋环游记,37,9.0,729978人评价
大话西游之月光宝盒,38,9.0,632061人评价
搏击俱乐部,39,9.0,521919人评价
哈尔的移动城堡,40,9.0,532305人评价
罗马假日,41,9.0,546306人评价
闻香识女人,42,9.0,467108人评价
辩护人,43,9.2,322469人评价
窃听风暴,44,9.1,324110人评价
末代皇帝,45,9.1,320030人评价
两杆大烟枪,46,9.1,356730人评价
飞越疯人院,47,9.1,359699人评价
死亡诗社,48,9.0,395364人评价
寻梦环游记,49,9.0,749209人评价
素媛,50,9.2,295949人评价
指环王2：双塔奇兵,51,9.0,384845人评价
教父2,52,9.2,274991人评价
V字仇杀队,53,8.9,604041人评价
指环王1：魔戒再现,54,9.0,431587人评价
狮子王,55,9.0,410335人评价
饮食男女,56,9.1,295447人评价
海豚湾,57,9.3,237177人评价
美丽心灵,58,9.0,419812人评价
情书,59,8.9,520866人评价
钢琴家,60,9.1,276508人评价
